TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.mozilla.javascript.MemberBox,LINE,0.15492957746478872,142,23
org.mozilla.javascript.Arguments,LINE,0.06403940886699508,203,14
org.mozilla.javascript.ArrowFunction,LINE,1.0,26,26
org.mozilla.javascript.json.JsonParser,LINE,0.6071428571428571,224,133
org.mozilla.javascript.xmlimpl.Namespace,LINE,0.8840579710144928,138,122
org.mozilla.javascript.xmlimpl.XMLLibImpl,LINE,0.0898876404494382,267,24
org.mozilla.javascript.xmlimpl.XmlNode,LINE,0.7797927461139896,386,318
org.mozilla.javascript.xmlimpl.XMLCtor,LINE,0.7070707070707071,99,79
org.mozilla.javascript.xmlimpl.XMLList,LINE,0.5648414985590778,347,206
org.mozilla.javascript.xmlimpl.XMLName,LINE,0.8647342995169082,207,185
org.mozilla.javascript.xmlimpl.XMLObjectImpl,LINE,0.3971830985915493,355,148
org.mozilla.javascript.xmlimpl.XML,LINE,0.9084507042253521,284,271
org.mozilla.javascript.xmlimpl.XmlProcessor,LINE,0.782608695652174,230,199
org.mozilla.javascript.xmlimpl.QName,LINE,0.8581560283687943,141,123
org.mozilla.javascript.JavaScriptException,LINE,0.5384615384615384,26,0
org.mozilla.javascript.NativeArray,LINE,0.35288065843621397,973,350
org.mozilla.javascript.NativeJSON,LINE,0.6294820717131474,251,164
org.mozilla.javascript.ast.ReturnStatement,LINE,1.0,29,29
org.mozilla.javascript.ast.Jump,LINE,0.9038461538461539,52,51
org.mozilla.javascript.ast.XmlLiteral,LINE,1.0,32,32
org.mozilla.javascript.ast.Loop,LINE,1.0,27,27
org.mozilla.javascript.ast.IfStatement,LINE,1.0,70,70
org.mozilla.javascript.ast.FunctionNode,LINE,0.9485294117647058,144,140
org.mozilla.javascript.ast.Scope,LINE,1.0,92,92
org.mozilla.javascript.ast.ContinueStatement,LINE,1.0,41,41
org.mozilla.javascript.ast.XmlFragment,LINE,1.0,9,9
org.mozilla.javascript.ast.Name,LINE,1.0,35,35
org.mozilla.javascript.ast.AstNode,LINE,0.9919354838709677,124,123
org.mozilla.javascript.ast.EmptyExpression,LINE,1.0,12,12
org.mozilla.javascript.ast.ArrayComprehensionLoop,LINE,1.0,17,17
org.mozilla.javascript.ast.Label,LINE,1.0,26,26
org.mozilla.javascript.ast.WhileLoop,LINE,0.8076923076923077,28,25
org.mozilla.javascript.ast.NumberLiteral,LINE,1.0,32,32
org.mozilla.javascript.ast.RegExpLiteral,LINE,1.0,19,19
org.mozilla.javascript.ast.NewExpression,LINE,1.0,34,34
org.mozilla.javascript.ast.ForInLoop,LINE,0.9230769230769231,58,56
org.mozilla.javascript.ast.EmptyStatement,LINE,1.0,14,14
org.mozilla.javascript.ast.ConditionalExpression,LINE,0.8936170212765957,53,52
org.mozilla.javascript.ast.ParseProblem,LINE,1.0,29,29
org.mozilla.javascript.ast.XmlMemberGet,LINE,0.96,30,30
org.mozilla.javascript.ast.ErrorNode,LINE,1.0,15,15
org.mozilla.javascript.ast.DoLoop,LINE,0.8928571428571429,32,31
org.mozilla.javascript.ast.FunctionCall,LINE,1.0,58,58
org.mozilla.javascript.ast.StringLiteral,LINE,0.9166666666666666,26,25
org.mozilla.javascript.ast.Yield,LINE,1.0,23,23
org.mozilla.javascript.ast.Comment,LINE,1.0,15,15
org.mozilla.javascript.ast.ThrowStatement,LINE,1.0,36,36
org.mozilla.javascript.ast.XmlString,LINE,1.0,15,15
org.mozilla.javascript.ast.Block,LINE,1.0,25,25
org.mozilla.javascript.ast.VariableInitializer,LINE,1.0,37,37
org.mozilla.javascript.ast.XmlRef,LINE,1.0,24,24
org.mozilla.javascript.ast.GeneratorExpressionLoop,LINE,1.0,17,17
org.mozilla.javascript.ast.SwitchCase,LINE,1.0,50,50
org.mozilla.javascript.ast.ForLoop,LINE,0.7560975609756098,43,36
org.mozilla.javascript.ast.WithStatement,LINE,1.0,48,48
org.mozilla.javascript.ast.ErrorCollector,LINE,1.0,15,15
org.mozilla.javascript.ast.ScriptNode,LINE,1.0,115,115
org.mozilla.javascript.ast.Assignment,LINE,1.0,12,12
org.mozilla.javascript.ast.BreakStatement,LINE,1.0,33,33
org.mozilla.javascript.NativeString,LINE,0.42350332594235035,451,191
org.mozilla.javascript.Interpreter,LINE,0.06671026814911707,1529,95
org.mozilla.javascript.v8dtoa.DiyFp,LINE,1.0,55,55
org.mozilla.javascript.v8dtoa.FastDtoaBuilder,LINE,1.0,57,57
org.mozilla.javascript.v8dtoa.CachedPowers,LINE,1.0,14,14
org.mozilla.javascript.v8dtoa.DoubleConversion,LINE,0.8095238095238095,21,17
org.mozilla.javascript.v8dtoa.DoubleHelper,LINE,1.0,37,37
org.mozilla.javascript.v8dtoa.FastDtoa,LINE,1.0,126,126
org.mozilla.javascript.regexp.REGlobalData,LINE,0.8571428571428571,7,7
org.mozilla.javascript.regexp.RECharSet,LINE,1.0,6,6
org.mozilla.javascript.regexp.RENode,LINE,1.0,3,3
org.mozilla.javascript.regexp.NativeRegExp,LINE,0.24361779722830051,1373,348
org.mozilla.javascript.regexp.SubString,LINE,1.0,14,14
org.mozilla.javascript.regexp.CompilerState,LINE,1.0,12,12
org.mozilla.javascript.regexp.REProgState,LINE,1.0,9,9
org.mozilla.javascript.regexp.RegExpImpl,LINE,0.4782608695652174,345,165
org.mozilla.javascript.regexp.GlobData,LINE,1.0,2,2
org.mozilla.javascript.regexp.REBackTrackData,LINE,1.0,10,10
org.mozilla.javascript.regexp.RECompiled,LINE,1.0,4,4
